Fungiidae|Fungiidae
Favites sp.|
Equetus acuminatus|Sciaenidae
Entacmaea quadricolor|Actiniidae
Dictyota sp.|Dictyotaceae
Dendrophylliidae|
Dendrogyra cylindrus|Meandrinidae
Dasyatidae|Dasyatidae
Cyprinidae|Cyprinidae
Coris aygula|Labridae
Corallinaceae sp.|Corallinaceae
Cocos nucifera|Arecaceae
Clathria sp.|
Chromis opercularis|
Chromis nitida|
Chromis multilineata|Pomacentridae
Chilomycterus antennatus|Diodontidae
Chaetodon vagabundus|Chaetodontidae
Chaetodon tepehua|
Chaetodon sedentarius|Chaetodontidae
Chaetodon reticulatus|Chaetodontidae
Chaetodon ocellatus|Chaetodontidae
Cassiopea andromeda|Cassiopeidae
Canthigaster rostrata|Tetraodontidae
Bothus ocellatus|Bothidae
Bodianus rufus|Labridae
Balistes vetula|Balistidae
Balistes melanopterus|Balistidae
Aplysina archeri|Aplysinidae
Antillogorgia bipinnata|Gorgoniidae
Anthiinae|
Antennariidae|
Annella sp.|
Annella mollis|
Amphiprion chrysopterus|Pomacentridae
Aluterus schoepfii|Monacanthidae
Aiolochroia crassa|Aplysinidae
Acropora muricata|Acroporidae
Acropora cf. hyacinthus|Acroporidae
Acanthurus leucosternon|Acanthuridae
Acabaria sp.|
Abudefduf sexfasciatus|
