species,photo_id,url,license,author,author_login,observed_on,source_page,attribution,sha256
Abudefduf saxatilis,30894200,https://inaturalist-open-data.s3.amazonaws.com/photos/30894200/medium.jpeg,CC-BY 4.0,Rodrigo Canalli,rodrigocanalli,2019-01-12,https://www.inaturalist.org/observations/20015146,"© Rodrigo Canalli, some rights reserved (CC-BY)",c18bef0838f1a2c458f5ec5b3c0c578a7ad1615b010f7a9e4d85565be039ed64
Abudefduf saxatilis,39728533,https://inaturalist-open-data.s3.amazonaws.com/photos/39728533/medium.jpeg,CC-BY 4.0,Natalie Waddell-Rutter,nataliewaddellrutter,2019-03-04,https://www.inaturalist.org/observations/25636198,"© Natalie Waddell-Rutter, some rights reserved (CC-BY)",7617b019d14f03af49d8823b03356c704b63e2114eafc0f237ca1284d2ee3745
Abudefduf saxatilis,28914843,https://inaturalist-open-data.s3.amazonaws.com/photos/28914843/medium.jpg,CC-BY 4.0,Mary Krieger,marykrieger,1980-11-29,https://www.inaturalist.org/observations/18871136,"© Mary Krieger, some rights reserved (CC-BY)",9a462d001a15b0043093ca1d4778559b89adbd6ca7d343d74f45f9b2f96a3676
Abudefduf saxatilis,364318127,https://inaturalist-open-data.s3.amazonaws.com/photos/364318127/medium.jpg,CC-BY 4.0,cello caruso-turiello,celllo,2024-04-07,https://www.inaturalist.org/observations/206006134,"© cello caruso-turiello, some rights reserved (CC-BY)",a0aa8248c4cc36b9f13e83701cc71991eadab9f8c5a65c139d29791cc90a2608
Abudefduf saxatilis,265089084,https://inaturalist-open-data.s3.amazonaws.com/photos/265089084/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2011-05-28,https://www.inaturalist.org/observations/153481625,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",52e41e7deae74a141fe267222957f6ed0e22a30f86ba405b8f3aedc435071539
Abudefduf saxatilis,265090860,https://inaturalist-open-data.s3.amazonaws.com/photos/265090860/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2011-05-28,https://www.inaturalist.org/observations/153481625,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",a63b99d372af686f39acafbd8d6c07804b7e0a561aa48b8f75fa772aae0e2f02
Abudefduf saxatilis,345673977,https://inaturalist-open-data.s3.amazonaws.com/photos/345673977/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2017-06-13,https://www.inaturalist.org/observations/196354821,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",133bad7a305d06dca2371871bbae207f2a15c30fe14f2d51c3b24e673d9981e9
Abudefduf saxatilis,678959076,https://inaturalist-open-data.s3.amazonaws.com/photos/678959076/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2025-05-19,https://www.inaturalist.org/observations/371602532,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",1378350d3a13e68bcec28ca5fe6b2511cecac551021d542cb7a527647f2478df
Abudefduf saxatilis,678960697,https://inaturalist-open-data.s3.amazonaws.com/photos/678960697/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2025-05-19,https://www.inaturalist.org/observations/371602532,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",5329d5db7183c4598fa9a682a199b04596b4d6db7968f7f80957b136832741ad
Abudefduf saxatilis,110207487,https://inaturalist-open-data.s3.amazonaws.com/photos/110207487/medium.jpg,CC-BY 4.0,João D'Andretta,jpdandretta,2021-01-06,https://www.inaturalist.org/observations/68111425,"© João D'Andretta, some rights reserved (CC-BY)",c48cec5cecc4e4043e55257ccf0710ab1932447370edd3eaca546d0eb5747e08
Abudefduf saxatilis,581794507,https://inaturalist-open-data.s3.amazonaws.com/photos/581794507/medium.jpg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2025-09-27,https://www.inaturalist.org/observations/321683368,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)",fcdc2b6b2f2605ae17c8255254fc27ec838eb31b351e190694f1bc1bf375a058
Abudefduf saxatilis,66399812,https://inaturalist-open-data.s3.amazonaws.com/photos/66399812/medium.jpg,CC-BY 4.0,Austin Smith,austinsmith,2019-09-27,https://www.inaturalist.org/observations/41845650,"© Austin Smith, some rights reserved (CC-BY)",53bda5929cf48440820a249eb5625dae89820296986ebc428726c27d85925746
Abudefduf saxatilis,66399825,https://inaturalist-open-data.s3.amazonaws.com/photos/66399825/medium.jpg,CC-BY 4.0,Austin Smith,austinsmith,2019-09-27,https://www.inaturalist.org/observations/41845650,"© Austin Smith, some rights reserved (CC-BY)",51694b5fbc2e5e636de5bfda84259c4c8e58b4abb674a2e32ded921abae313ce
Abudefduf saxatilis,66399856,https://inaturalist-open-data.s3.amazonaws.com/photos/66399856/medium.jpg,CC-BY 4.0,Austin Smith,austinsmith,2019-09-27,https://www.inaturalist.org/observations/41845650,"© Austin Smith, some rights reserved (CC-BY)",e066683bed0e00733a093e62e50a3a6bbd36c4feba80389d6b844a4802621ea3
Abudefduf saxatilis,66399847,https://inaturalist-open-data.s3.amazonaws.com/photos/66399847/medium.jpg,CC-BY 4.0,Austin Smith,austinsmith,2019-09-27,https://www.inaturalist.org/observations/41845650,"© Austin Smith, some rights reserved (CC-BY)",1b40558d3d703f8a347201248c01519ef32c4659a6eac65f87ee4ab905e7c324
Abudefduf saxatilis,315904104,https://inaturalist-open-data.s3.amazonaws.com/photos/315904104/medium.jpeg,CC-BY 4.0,Michael A. Alcorn,airalcorn2,2023-09-01,https://www.inaturalist.org/observations/181274345,"© Michael A. Alcorn, some rights reserved (CC-BY)",3abae5de9b371aab5bf7c8bcf3edfd154520efb77f644f6f1526ad25e225bbbb
Abudefduf saxatilis,455983337,https://inaturalist-open-data.s3.amazonaws.com/photos/455983337/medium.jpg,CC-BY 4.0,Nick Tobler (Cowturtle),cowturtle,2024-12-07,https://www.inaturalist.org/observations/254556629,"© Nick Tobler (Cowturtle), some rights reserved (CC-BY)",0e3899a818a8069303fe58e1a0aa70752fa4cce57b8c02e10d4fe6561be88d35
Abudefduf saxatilis,455980657,https://inaturalist-open-data.s3.amazonaws.com/photos/455980657/medium.jpg,CC-BY 4.0,Nick Tobler (Cowturtle),cowturtle,2024-12-07,https://www.inaturalist.org/observations/254556629,"© Nick Tobler (Cowturtle), some rights reserved (CC-BY)",846f03f919e68aa038bae53ab036e673b49056d92d20bf144a54f4d021936633
Abudefduf vaigiensis,545328230,https://inaturalist-open-data.s3.amazonaws.com/photos/545328230/medium.jpg,CC-BY 4.0,Ian Dugdale,ian_dugdale,2015-02-23,https://www.inaturalist.org/observations/302589792,"© Ian Dugdale, some rights reserved (CC-BY)",95666e07d2b642f13f1b4f73fb49249b5260758ca21fb9ca59adeafbb7a74e4e
Abudefduf vaigiensis,132982171,https://inaturalist-open-data.s3.amazonaws.com/photos/132982171/medium.jpg,CC-BY 4.0,jeyre,jeyre,2021-04-11,https://www.inaturalist.org/observations/81099816,"© jeyre, some rights reserved (CC-BY)",3e509dba04344d8925a0780cff3d29a1c7c531997e9a64162cbe0a95f0b7cfe3
Abudefduf vaigiensis,267083756,https://inaturalist-open-data.s3.amazonaws.com/photos/267083756/medium.jpg,CC-BY 4.0,portioid,portioid,2023-04-12,https://www.inaturalist.org/observations/154571035,"© portioid, some rights reserved (CC-BY)",7b863ab43b3cbaad486a655fbd4114ad790b8feab12839642de9519e5a9947ca
Abudefduf vaigiensis,267086194,https://inaturalist-open-data.s3.amazonaws.com/photos/267086194/medium.jpg,CC-BY 4.0,portioid,portioid,2023-04-12,https://www.inaturalist.org/observations/154571193,"© portioid, some rights reserved (CC-BY)",a3287c3f969f5ebd9933a6bb027cf55344c01cbebbeb13fdc8f62bec4bebd3d1
Abudefduf vaigiensis,304260833,https://inaturalist-open-data.s3.amazonaws.com/photos/304260833/medium.jpeg,CC-BY 4.0,Shelomi Doyle,shelomi,2023-07-10,https://www.inaturalist.org/observations/175093683,"© Shelomi Doyle, some rights reserved (CC-BY)",1dd9bc4ab1e21730a6e1d39d450b4fe4734e4f67998d53f3389e19e0b07c72be
Abudefduf vaigiensis,304260891,https://inaturalist-open-data.s3.amazonaws.com/photos/304260891/medium.jpeg,CC-BY 4.0,Shelomi Doyle,shelomi,2023-07-10,https://www.inaturalist.org/observations/175093683,"© Shelomi Doyle, some rights reserved (CC-BY)",5d22bdf010ef052ee7800e8e3eaab02524e702bf38241d416a06a5d6e4d4a8c9
Abudefduf vaigiensis,433116539,https://inaturalist-open-data.s3.amazonaws.com/photos/433116539/medium.jpg,CC-BY 4.0,Wolfgang Ahlmer,wolfgang_ahlmer,2024-08-19,https://www.inaturalist.org/observations/242934993,"© Wolfgang Ahlmer, some rights reserved (CC-BY)",2a5c8c18df33133e76eb4a085b820b5a84d3a89fdb5d4bec84a8ff5c27f1572d
Abudefduf vaigiensis,433116579,https://inaturalist-open-data.s3.amazonaws.com/photos/433116579/medium.jpg,CC-BY 4.0,Wolfgang Ahlmer,wolfgang_ahlmer,2024-08-19,https://www.inaturalist.org/observations/242934993,"© Wolfgang Ahlmer, some rights reserved (CC-BY)",0479125091ee5a04bce636ac63aea5f3e5bb08679429f2bfb8f5de996948341d
Abudefduf vaigiensis,342073137,https://inaturalist-open-data.s3.amazonaws.com/photos/342073137/medium.jpeg,CC-BY 4.0,Анна Митрошенкова,anna_mitroshenkova,2008-08-12,https://www.inaturalist.org/observations/194590633,"© Анна Митрошенкова, some rights reserved (CC-BY)",7abfa9d6e9f7d57ff0800fc7430897a31079e54881a73c42901300ad864d20b8
Abudefduf vaigiensis,342073135,https://inaturalist-open-data.s3.amazonaws.com/photos/342073135/medium.jpeg,CC-BY 4.0,Анна Митрошенкова,anna_mitroshenkova,2008-08-12,https://www.inaturalist.org/observations/194590633,"© Анна Митрошенкова, some rights reserved (CC-BY)",1f3c3a7914850ab1798fff639c5321ac7e3d8508d3cb32696f245cbc8755c3cf
Abudefduf vaigiensis,342073128,https://inaturalist-open-data.s3.amazonaws.com/photos/342073128/medium.jpeg,CC-BY 4.0,Анна Митрошенкова,anna_mitroshenkova,2008-08-12,https://www.inaturalist.org/observations/194590633,"© Анна Митрошенкова, some rights reserved (CC-BY)",8e591195d6506298f4aa0abb6895ae269ce340d223747c064458ad5de4ed9fae
Abudefduf vaigiensis,342073146,https://inaturalist-open-data.s3.amazonaws.com/photos/342073146/medium.jpeg,CC-BY 4.0,Анна Митрошенкова,anna_mitroshenkova,2008-08-12,https://www.inaturalist.org/observations/194590633,"© Анна Митрошенкова, some rights reserved (CC-BY)",93c5bd384e0a957c906a499828635199e6eabf168b7deef8a63f5f2cdec85dbf
Abudefduf vaigiensis,327758504,https://inaturalist-open-data.s3.amazonaws.com/photos/327758504/medium.jpeg,CC-BY 4.0,Nicola Crockford,nicolacrockford,2017-10-31,https://www.inaturalist.org/observations/187421952,"© Nicola Crockford, some rights reserved (CC-BY)",d2b7f05710cdaa81bceacb34aaaab397ec52ebfbb2deae004e7c63ad0e38bfaa
Abudefduf vaigiensis,323527412,https://inaturalist-open-data.s3.amazonaws.com/photos/323527412/medium.jpg,CC-BY 4.0,portioid,portioid,2023-09-28,https://www.inaturalist.org/observations/185260482,"© portioid, some rights reserved (CC-BY)",3210ac76dd7d019111e3a7571de57f979a60a18bea5d33eb6b640dbfb5e15835
Abudefduf vaigiensis,335355593,https://inaturalist-open-data.s3.amazonaws.com/photos/335355593/medium.jpeg,CC-BY 4.0,Henrik Kibak,hkibak,2023-11-10,https://www.inaturalist.org/observations/191196737,"© Henrik Kibak, some rights reserved (CC-BY)",bd5742f1e81c267be9ddc1efbe079f71ee1933be12a16521cd58c593d7c0ca42
Abudefduf vaigiensis,487134935,https://inaturalist-open-data.s3.amazonaws.com/photos/487134935/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2025-03-09,https://www.inaturalist.org/observations/270849552,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)",65dd21578c0cec302dfd0cee1d0eae7336a77bda2fcbe29f9e8d09f0b84d2921
Abudefduf vaigiensis,487134855,https://inaturalist-open-data.s3.amazonaws.com/photos/487134855/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2025-03-09,https://www.inaturalist.org/observations/270849552,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)",4f2bdfe0d263d87185d20b3fe708448e6d246bc479a0842922667b9e1bae8efa
Abudefduf vaigiensis,487134833,https://inaturalist-open-data.s3.amazonaws.com/photos/487134833/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2025-03-09,https://www.inaturalist.org/observations/270849552,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)",bfa8c1764614f5b960a2a30a2df65ea8cc9b4f5d221343b38f7b6d8c85b5a7c4
Abudefduf vaigiensis,359333336,https://inaturalist-open-data.s3.amazonaws.com/photos/359333336/medium.jpeg,CC-BY 4.0,Richard Shirky,richardshirky,2024-03-21,https://www.inaturalist.org/observations/203384015,"© Richard Shirky, some rights reserved (CC-BY)",081712cdd4a314874d1986428e7d5cb428368a83b30201d31e5756932b7f5a36
Abudefduf vaigiensis,484325353,https://inaturalist-open-data.s3.amazonaws.com/photos/484325353/medium.png,CC-BY 4.0,Solomon Islands Fish ID Project,solomonislandsproject,2023-01-15,https://www.inaturalist.org/observations/269372050,"© Solomon Islands Fish ID Project, some rights reserved (CC-BY)",b4c9c3746b5e9e563616087ffd86ec573aaa225d22a03c16b7b3ed8968b110bf
Abudefduf vaigiensis,103431441,https://inaturalist-open-data.s3.amazonaws.com/photos/103431441/medium.jpg,CC-BY 4.0,ajott,ajott,2020-10-26,https://www.inaturalist.org/observations/64344428,"© ajott, some rights reserved (CC-BY)",73c8416a945b36891717278131d144d6a1a776c8f8e26e0415f9f28bd189da8e
Abudefduf vaigiensis,214371102,https://inaturalist-open-data.s3.amazonaws.com/photos/214371102/medium.jpeg,CC-BY 4.0,Vítor Jorge,vitorjcj,2018-10-29,https://www.inaturalist.org/observations/126349450,"© Vítor Jorge, some rights reserved (CC-BY)",fd5ab0d2000bef341369ee4272efa058fa3b41a520d2b9d018480ae9bf5291be
Abudefduf vaigiensis,203408212,https://inaturalist-open-data.s3.amazonaws.com/photos/203408212/medium.jpg,CC-BY 4.0,Don Loarie,dloarie,2022-05-25,https://www.inaturalist.org/observations/120274840,"© Don Loarie, some rights reserved (CC-BY)",c55d85a0fc0ccfa6f8d95866e6536eb83e0f1dce13e584c610e9249ef18bd5d6
Abudefduf vaigiensis,111373027,https://inaturalist-open-data.s3.amazonaws.com/photos/111373027/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2019-12-31,https://www.inaturalist.org/observations/68736055,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)",964488b9f6edc546b69403bf118fab4b853fe22ac003b9cd0f91be85a03247f1
Abudefduf vaigiensis,111590613,https://inaturalist-open-data.s3.amazonaws.com/photos/111590613/medium.jpeg,CC-BY 4.0,Trey Philips,treyjp,2014-11-27,https://www.inaturalist.org/observations/68853211,"© Trey Philips, some rights reserved (CC-BY)",3eb5cccf391e73ed736f4ab4fb02844b233f28a891c607d5a4edaac6dc1db427
Abudefduf vaigiensis,111590563,https://inaturalist-open-data.s3.amazonaws.com/photos/111590563/medium.jpeg,CC-BY 4.0,Trey Philips,treyjp,2014-11-27,https://www.inaturalist.org/observations/68853211,"© Trey Philips, some rights reserved (CC-BY)",11e3994dddd19b23d026199cbfc4947c2da3f38aa15008f88f131234fcf5d567
Abudefduf vaigiensis,111590882,https://inaturalist-open-data.s3.amazonaws.com/photos/111590882/medium.jpeg,CC-BY 4.0,Trey Philips,treyjp,2014-11-27,https://www.inaturalist.org/observations/68853211,"© Trey Philips, some rights reserved (CC-BY)",1de7fab0c04a75e6b4e03abd73f13b23d22f977c37855d35f192a1a86ca86b8e
Abudefduf vaigiensis,250967089,https://inaturalist-open-data.s3.amazonaws.com/photos/250967089/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2022-12-29,https://www.inaturalist.org/observations/146030700,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)",94f2bd1b05bb9f0a466816e3a63e881dd35cbc00d2f5ae9846f7b7ab41766339
Acanthurus bahianus,700225464,https://inaturalist-open-data.s3.amazonaws.com/photos/700225464/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-08-20,https://www.inaturalist.org/observations/382625763,"© Donald Davesne, some rights reserved (CC-BY)",2f34ffa510f61ff95eea3cf7996a722e5eee3d8cbe3e90a1dc11918cec79c225
Acanthurus bahianus,700225463,https://inaturalist-open-data.s3.amazonaws.com/photos/700225463/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-08-20,https://www.inaturalist.org/observations/382625763,"© Donald Davesne, some rights reserved (CC-BY)",887acc0d36bafda43680e0a422ffc99d036be111169da3f4f2e0c848048cdea4
Acanthurus bahianus,599434478,https://inaturalist-open-data.s3.amazonaws.com/photos/599434478/medium.jpg,CC-BY 4.0,Paulo C. O. Cunha,paulo_celso_cunha,2025-12-12,https://www.inaturalist.org/observations/330553349,"© Paulo C. O. Cunha, some rights reserved (CC-BY)",f5ae622fb1187819271b1366cc9374a2141df521e68397de60c1d2e0c86f1323
Acanthurus bahianus,508052920,https://inaturalist-open-data.s3.amazonaws.com/photos/508052920/medium.jpg,CC-BY 4.0,agujaceratops,agujaceratops,2025-05-20,https://www.inaturalist.org/observations/282777310,"© agujaceratops, some rights reserved (CC-BY)",7166b8a83e46a6c6106f826c501665d3e6490e9fddcf9d7df1c1fea8f7f67f4f
Acanthurus bahianus,597888376,https://inaturalist-open-data.s3.amazonaws.com/photos/597888376/medium.jpg,CC-BY 4.0,Paulo C. O. Cunha,paulo_celso_cunha,2025-12-06,https://www.inaturalist.org/observations/329797002,"© Paulo C. O. Cunha, some rights reserved (CC-BY)",4eb401ab0537591991547e23989f5876ae45115fae64f532d30c8392edc6f8e5
Acanthurus bahianus,254681359,https://inaturalist-open-data.s3.amazonaws.com/photos/254681359/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147949524,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",59310df96779cf3f79bc3a78dba5384e14aec0b047592d9632d03b0724c66a8b
Acanthurus bahianus,254681367,https://inaturalist-open-data.s3.amazonaws.com/photos/254681367/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147949524,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",fa19402f3e0c13fd57edb43cc19a50babf20fe7ebfed47e7ab553cb30d402d5f
Acanthurus bahianus,254681378,https://inaturalist-open-data.s3.amazonaws.com/photos/254681378/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147949524,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",0a8dcb7aa5d9cff6cb9e2cb547acc412457c9c3be618eb4917f11a48eaaa0106
Acanthurus bahianus,254681389,https://inaturalist-open-data.s3.amazonaws.com/photos/254681389/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147949524,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",3bb3ce250ce1f096f2cbaff592d7e5cfb2ef2425f19a93ad92b032df54772d55
Acanthurus bahianus,110638265,https://inaturalist-open-data.s3.amazonaws.com/photos/110638265/medium.jpg,CC-BY 4.0,Bernard Picton,bernardpicton,2006-05-13,https://www.inaturalist.org/observations/68343884,"© Bernard Picton, some rights reserved (CC-BY)",7a95f43b7a32b59dbc0e5c1ab155accd3bd3990f2779a5ceedd2422bdcfa3373
Acanthurus bahianus,110638273,https://inaturalist-open-data.s3.amazonaws.com/photos/110638273/medium.jpg,CC-BY 4.0,Bernard Picton,bernardpicton,2006-05-13,https://www.inaturalist.org/observations/68343884,"© Bernard Picton, some rights reserved (CC-BY)",b0fc21d11ab1e49920463b477cec7a07f85a3eac46ef962a53e4814be82cf2af
Acanthurus bahianus,107515505,https://inaturalist-open-data.s3.amazonaws.com/photos/107515505/medium.jpg,CC-BY 4.0,João D'Andretta,jpdandretta,2018-10-13,https://www.inaturalist.org/observations/66664715,"© João D'Andretta, some rights reserved (CC-BY)",8716e0f6a5a684a1073d2a8fe09429b15046bcb9584129fb84357f60684bfb69
Acanthurus bahianus,508304734,https://inaturalist-open-data.s3.amazonaws.com/photos/508304734/medium.jpg,CC-BY 4.0,agujaceratops,agujaceratops,2025-05-21,https://www.inaturalist.org/observations/282907271,"© agujaceratops, some rights reserved (CC-BY)",cf09b8e08e56813f6c194fe3b4f36b431f93c5183f0d1622b2e6bc41f5119619
Acanthurus bahianus,254682225,https://inaturalist-open-data.s3.amazonaws.com/photos/254682225/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147949897,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",476748486a4e5101279f296c516b6564cb57cfcfac6ebf043cedbf58d0489ca3
Acanthurus bahianus,254682528,https://inaturalist-open-data.s3.amazonaws.com/photos/254682528/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147950207,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",5e91ad322cb76806f7fd97ee20ba5cfeed298c5f170423a63d3dff1de7eef29f
Acanthurus bahianus,254682725,https://inaturalist-open-data.s3.amazonaws.com/photos/254682725/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147950207,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",871fbcc08eeb4be2fa5ac121f0e23ee3e5d7806a19cbaac05e8e14d36c0df32d
Acanthurus bahianus,254682732,https://inaturalist-open-data.s3.amazonaws.com/photos/254682732/medium.jpeg,CC-BY 4.0,Carlos Otávio Gussoni,gussoni,2023-02-03,https://www.inaturalist.org/observations/147950207,"© Carlos Otávio Gussoni, some rights reserved (CC-BY)",fad4695d45824f122712baf172c62442ad80fad9f21268e165c4530cfdd5e550
Acanthurus bahianus,234732590,https://inaturalist-open-data.s3.amazonaws.com/photos/234732590/medium.jpg,CC-BY 4.0,João D'Andretta,jpdandretta,2022-09-24,https://www.inaturalist.org/observations/137439974,"© João D'Andretta, some rights reserved (CC-BY)",d330295e288405caf1d3876567c62faf282a4a1229cf0606e82e87c2f5889ab6
Acanthurus bahianus,699249033,https://inaturalist-open-data.s3.amazonaws.com/photos/699249033/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-08-20,https://www.inaturalist.org/observations/382120740,"© Donald Davesne, some rights reserved (CC-BY)",ad6679f7c5bc02b48c41c6740784fce52338e32473c8895373663311c721b0fb
Acanthurus bahianus,699249069,https://inaturalist-open-data.s3.amazonaws.com/photos/699249069/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-08-20,https://www.inaturalist.org/observations/382120740,"© Donald Davesne, some rights reserved (CC-BY)",5972aa01ff4e9c98304a3c836c175b131f47db7c7eacd9f58ac9db508001d527
Acanthurus bahianus,28846790,https://inaturalist-open-data.s3.amazonaws.com/photos/28846790/medium.jpg,CC-BY 4.0,B. Phalan,deboas,2018-12-04,https://www.inaturalist.org/observations/18831650,"© B. Phalan, some rights reserved (CC-BY)",94ee57233ef73c43acaafb8dfe1ccab88dc7bcd0db486cd6d1b0be97acebe517
Acanthurus bahianus,28846781,https://inaturalist-open-data.s3.amazonaws.com/photos/28846781/medium.jpg,CC-BY 4.0,B. Phalan,deboas,2018-12-04,https://www.inaturalist.org/observations/18831650,"© B. Phalan, some rights reserved (CC-BY)",22ae9851009ed9eecfe06371111f84c458b07303c85e190b41848576cc4265e3
